StationId,Year,Trimester,Passage_schedule,Occupancy_Rate,lat and long
59830,2022,T1,15h15-15h30,30,"48.53252,2.29048"
59830,2022,T2,13h00-13h15,17.5,"48.53252,2.29048"
59830,2022,T3,13h30-13h45,32.5,"48.53252,2.29048"
59830,2022,T4,12h00-12h15,30,"48.53252,2.29048"
59830,2023,T1,15h15 - 15h20,27.5,"48.53252,2.29048"
59830,2023,T2,16h45 - 17h00,32.5,"48.53252,2.29048"
59830,2023,T3,11h00 - 11h15,27.5,"48.53252,2.29048"
59830,2023,T4,10h30 - 10h45,25,"48.53252,2.29048"
61727,2022,T1,9h15-9h30,25,"48.47556,2.69278"
61727,2022,T1,9h15-9h30,33.33333333,"48.47556,2.69278"
61727,2022,T2,12h30-12h45,35,"48.47556,2.69278"
61727,2022,T2,12h45-13h00,48.61111111,"48.47556,2.69278"
61727,2022,T3,14h15-14h30,42.5,"48.47556,2.69278"
61727,2022,T3,14h15-14h30,43.05555556,"48.47556,2.69278"
61727,2022,T4,13h15-13h30,45,"48.47556,2.69278"
61727,2022,T4,13h30-13h45,51.38888889,"48.47556,2.69278"
61727,2023,T1,10h00 - 10h15,27.5,"48.47556,2.69278"
61727,2023,T1,10h00 - 10h15,36.11111111,"48.47556,2.69278"
61727,2023,T2,13h15 - 13h30,42.5,"48.47556,2.69278"
61727,2023,T2,13h30 - 13h45,45.83333333,"48.47556,2.69278"
61727,2023,T3,13h45 - 14h00,32.5,"48.47556,2.69278"
61727,2023,T3,13h45 - 14h00,44.44444444,"48.47556,2.69278"
61727,2023,T4,09h30 - 09h45,25,"48.47556,2.69278"
61727,2023,T4,09h30 - 09h45,25,"48.47556,2.69278"
63244,2022,T1,12h45-13h00,42.5,"48.7263147,2.2577235"
63244,2022,T1,13h00-13h15,12.5,"48.7263147,2.2577235"
63244,2022,T2,09h30-09h45,37.5,"48.7263147,2.2577235"
63244,2022,T2,09h30-09h45,26.25,"48.7263147,2.2577235"
63244,2022,T3,10h30-10h45,37.5,"48.7263147,2.2577235"
63244,2022,T3,10h15-10h30,27.5,"48.7263147,2.2577235"
